"","farms","treat","year","rootknot","spiral"
"1","Turf Farm","IC","1969-12-31 19:33:43",241,647
"2","Greg Carpenter","DR","1969-12-31 19:33:43",16,159
"3","Padgett 1","IC","1969-12-31 19:33:43",253,0
"4","Bo Hand","DR","1969-12-31 19:33:43",119,1
"5","Greg Nash Isabella","IR","1969-12-31 19:33:43",250,0
"6","Folsom Irrg 2","IR","1969-12-31 19:33:43",235,2
"7","S Patterson 2","DC","1969-12-31 19:33:43",118,0
"8","Bo New Ground Shop","DC","1969-12-31 19:33:43",0,1
"9","Folsom Irrg 1","IR","1969-12-31 19:33:43",0,231
"10","Parish Dry2","IC","1969-12-31 19:33:43",247,1
"11","Jackson","IC","1969-12-31 19:33:43",74,77
"12","Folsom Dry 1","DR","1969-12-31 19:33:43",254,32
"13","Tucker","DR","1969-12-31 19:33:43",4,0
"14","S Patterson 1","IC","1969-12-31 19:33:43",0,0
"15","Norman Park","DC","1969-12-31 19:33:43",0,0
"16","Padgett 2","IR","1969-12-31 19:33:43",67,570
"17","Chris Smith","IR","1969-12-31 19:33:43",231,112
"18","Folsom Dry 2","DR","1969-12-31 19:33:43",2,5
"19","Quincy ","DC","1969-12-31 19:33:43",4,0
"20","Chris New Ground 82","DC","1969-12-31 19:33:43",0,1
"21","shotgun_left","DC","1969-12-31 19:33:44",3,0
"22","shotgun_right","DC","1969-12-31 19:33:44",0,0
"23","82rd","DC","1969-12-31 19:33:44",1,32
"24","319_church","DC","1969-12-31 19:33:44",111,1
"25","cool_spring","DC","1969-12-31 19:33:44",127,0
"26","stone_bridge","DR","1969-12-31 19:33:44",245,26
"27","oj","IC","1969-12-31 19:33:44",264,0
"28","dry_chick","IC","1969-12-31 19:33:44",16,137
"29","porters","IC","1969-12-31 19:33:44",6,23
"30","porters_left","IC","1969-12-31 19:33:44",49,100
"31","tri_site","IC","1969-12-31 19:33:44",0,0
"32","porter_corner","IC","1969-12-31 19:33:44",5,8
"33","sears","IC","1969-12-31 19:33:44",87,0
"34","ew_booth","IR","1969-12-31 19:33:44",0,1
"35","upper_tyty","IR","1969-12-31 19:33:44",1278,8
"36","tyty_sparks","IR","1969-12-31 19:33:44",343,1
"37","jacob_hall","IR","1969-12-31 19:33:44",188,0
